Unnamed: 0,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
30,Beaumont,33.92416667,-116.9736111,796.0,2612.0,36877,30.926,30.912,0.013999999999999999,80.098,80.062,0.036000000000000004,0.04
31,Bell,33.98333333,-118.18333329999999,43.0,141.0,35477,2.62,2.501,0.11900000000000001,6.7829999999999995,6.476,0.307,4.53
32,Bellflower,33.88805556,-118.1275,22.0,71.0,76616,6.17,6.117000000000001,0.053,15.981,15.843,0.138,0.86
33,BellGardens,33.96805556,-118.1561111,37.0,121.0,42072,2.463,2.459,0.004,6.379,6.367999999999999,0.012,0.18
34,Belmont,37.51805556,-122.29166670000001,13.0,43.0,25835,4.63,4.621,0.009000000000000001,11.992,11.97,0.022000000000000002,0.19
35,Belvedere,37.87277778,-122.46444440000002,11.0,36.0,2068,2.406,0.519,1.8869999999999998,6.234,1.345,4.888999999999999,78.42
36,Benicia,38.06333333,-122.1561111,8.0,26.0,26997,15.72,12.929,2.7910000000000004,40.714,33.486,7.229,17.75
37,Berkeley,37.87166667,-122.2727778,200.0,660.0,112580,17.695999999999998,10.47,7.226,45.833,27.118000000000002,18.715999999999998,40.83
38,BeverlyHills,34.07305556,-118.39944440000001,79.0,259.0,34290,5.71,5.707999999999999,0.002,14.79,14.784,0.006,0.04
39,BigBearLake,34.24138889,-116.90333329999999,2058.0,6752.0,5019,6.534,6.346,0.188,16.923,16.435,0.488,2.88
40,Biggs,39.41388889,-121.7102778,30.0,98.0,1707,0.636,0.636,0.0,1.646,1.646,0.0,0.0
42,BlueLake,40.88277778,-123.9838889,40.0,131.0,1253,0.622,0.5920000000000001,0.03,1.61,1.5330000000000001,0.077,4.8
43,Blythe,33.61027778,-114.5963889,83.0,272.0,20817,26.971999999999998,26.189,0.7829999999999999,69.855,67.828,2.0269999999999997,2.9
44,Bradbury,34.14944444,-117.97444440000001,206.0,676.0,1048,1.9580000000000002,1.9569999999999999,0.001,5.073,5.07,0.003,0.06
45,Brawley,32.97861111,-115.5302778,-34.0,-112.0,24953,7.682,7.682,0.0,19.895,19.895,0.0,0.0
46,Brea,33.92333333,-117.8888889,110.0,361.0,39282,12.109000000000002,12.078,0.031,31.363000000000003,31.283,0.08,0.26
48,Brisbane,37.68083333,-122.41916670000002,33.0,108.0,4282,20.077,3.096,16.980999999999998,51.998999999999995,8.017000000000001,43.981,84.58
49,Buellton,34.61416667,-120.19388889999999,109.0,358.0,4828,1.5830000000000002,1.5819999999999999,0.001,4.099,4.098,0.002,0.04
50,BuenaPark,33.85611111,-118.00416670000001,23.0,75.0,80530,10.552999999999999,10.524000000000001,0.028999999999999998,27.331999999999997,27.256999999999998,0.075,0.28
51,Burbank,34.18027778,-118.32833329999998,185.0,607.0,103340,17.379,17.340999999999998,0.038,45.011,44.913000000000004,0.098,0.22
52,Burlingame,37.58333333,-122.3636111,12.0,39.0,28806,6.057,4.406000000000001,1.651,15.686,11.411,4.275,27.25
53,Calabasas,34.13833333,-118.6608333,243.0,5.0,23058,13.3,13.249,0.051,34.4,34.27,0.131,0.38
55,CaliforniaCity,35.12583333,-117.98583329999998,733.0,2405.0,14120,203.63099999999997,203.523,0.10800000000000001,527.401,527.122,0.27899999999999997,0.05
56,Calimesa,33.98805556,-117.04305559999999,729.0,2392.0,7879,14.847000000000001,14.847000000000001,0.0,38.454,38.454,0.0,0.0
58,Calistoga,38.58138889,-122.58277779999999,106.0,348.0,5155,2.613,2.595,0.018000000000000002,6.769,6.722,0.047,0.7
59,Camarillo,34.23333333,-119.03333329999998,54.0,177.0,65201,19.543,19.528,0.015,50.617,50.577,0.04,0.08
60,Campbell,37.28388889,-121.955,60.0,197.0,39349,5.886,5.797999999999999,0.08800000000000001,15.245,15.017000000000001,0.228,1.49
61,CanyonLake,33.68416667,-117.25555559999998,422.0,1385.0,10561,4.671,3.928,0.743,12.099,10.173,1.926,15.92
62,Capitola,36.97638889,-121.9547222,4.0,13.0,9918,1.676,1.5930000000000002,0.083,4.34,4.126,0.214,4.92
63,Carlsbad,33.12194444,-117.29694440000002,16.0,52.0,105328,39.11,37.722,1.3880000000000001,101.295,97.699,3.596,3.55
65,Carpinteria,34.39916667,-119.5163889,10.0,33.0,13040,9.272,2.5860000000000003,6.686,24.011999999999997,6.697,17.315,72.11
66,Carson,33.83972222,-118.25972220000001,8.2,27.0,91714,18.968,18.724,0.244,49.126999999999995,48.495,0.631,1.29
67,CathedralCity,33.80777778,-116.46472220000001,100.0,328.0,51200,21.756,21.499000000000002,0.257,56.349,55.683,0.6659999999999999,1.18
68,Ceres,37.60138889,-120.9572222,28.0,92.0,45417,8.019,8.011000000000001,0.008,20.771,20.749000000000002,0.022000000000000002,0.1
69,Cerritos,33.86833333,-118.0675,14.0,34.0,49041,8.856,8.725,0.131,22.936999999999998,22.598000000000003,0.33899999999999997,1.48
70,Chico,39.74,-121.83555559999999,74.0,245.0,86187,33.095,32.923,0.172,85.71600000000001,85.271,0.446,0.52
71,Chino,34.01777778,-117.69,222.0,728.0,77983,29.651999999999997,29.639,0.013000000000000001,76.79899999999999,76.766,0.033,0.04
72,ChinoHills,33.97527778,-117.72305559999998,365.0,1070.0,75655,44.748999999999995,44.681000000000004,0.068,115.899,115.723,0.175,0.15
73,Chowchilla,37.11666667,-120.26666670000002,73.0,240.0,18720,7.6610000000000005,7.6610000000000005,0.0,19.842,19.842,0.0,0.0
74,ChulaVista,32.62777778,-117.04805559999998,21.0,69.0,243916,52.093999999999994,49.631,2.463,134.925,128.545,6.38,4.73
75,CitrusHeights,38.7,-121.28333329999998,50.0,164.0,83301,14.228,14.228,0.0,36.851,36.851,0.0,0.0
77,Clayton,37.94111111,-121.93583329999998,120.0,394.0,10897,3.8360000000000003,3.8360000000000003,0.0,9.935,9.935,0.0,0.0
78,Clearlake,38.95833333,-122.6263889,432.0,1417.0,15250,10.581,10.129,0.452,27.404,26.234,1.17,4.27
80,Clovis,36.82527778,-119.70305559999998,110.0,361.0,101314,23.278000000000002,23.278000000000002,0.0,60.288999999999994,60.288999999999994,0.0,0.0
81,Coachella,33.67944444,-116.17444440000001,-20.74,-66.0,40704,28.95,28.95,0.0,74.98100000000001,74.98100000000001,0.0,0.0
82,Coalinga,36.13972222,-120.36027779999999,205.0,673.0,13380,6.15,6.119,0.031,15.927,15.847000000000001,0.08,0.5
83,Colfax,39.09722222,-120.9538889,739.0,2425.0,1963,1.4069999999999998,1.4069999999999998,0.0,3.645,3.645,0.0,0.0
84,Colma,37.67888889,-122.45555559999998,37.0,121.0,1792,1.909,1.909,0.0,4.945,4.945,0.0,0.0
85,Colton,34.065,-117.32166670000001,306.0,1004.0,52154,16.039,15.324000000000002,0.715,41.541000000000004,39.689,1.8519999999999999,4.46
86,Colusa,39.21444444,-122.0094444,16.0,52.0,5971,1.834,1.834,0.0,4.751,4.751,0.0,0.0
87,Commerce,34.00055556,-118.15472220000001,43.0,141.0,12823,6.537999999999999,6.537000000000001,0.001,16.933,16.93,0.003,0.02
88,Compton,33.89666667,-118.225,21.0,69.0,96455,10.116,10.012,0.10400000000000001,26.201999999999998,25.932,0.27,1.03
89,Concord,37.97805556,-122.0311111,26.0,85.3,122067,30.546,30.546,0.0,79.11399999999999,79.11399999999999,0.0,0.0
90,Corcoran,36.09805556,-119.5602778,63.0,207.0,25515,7.4670000000000005,7.4670000000000005,0.0,19.338,19.338,0.0,0.0
91,Corning,39.92611111,-122.18055559999999,84.0,276.0,17382,3.55,3.55,0.0,9.193,9.193,0.0,0.0
92,Corona,33.86666667,-117.56666670000001,206.0,678.0,158391,38.93,38.825,0.105,100.829,100.55799999999999,0.272,0.27
93,Coronado,32.67805556,-117.1725,6.0,20.0,24697,32.666,7.931,24.735,84.603,20.541,64.062,75.72
94,CorteMadera,37.92555556,-122.5275,12.0,39.0,9253,4.406000000000001,3.1639999999999997,1.242,11.41,8.193,3.216,28.19
95,CostaMesa,33.665,-117.9122222,30.0,98.0,109960,15.7,15.654000000000002,0.046,40.662,40.543,0.11900000000000001,0.29
96,Cotati,38.32777778,-122.70916670000001,34.0,112.0,7310,1.883,1.88,0.003,4.877,4.869,0.008,0.17
97,Covina,34.09166667,-117.87916670000001,170.0,558.0,47796,7.041,7.026,0.015,18.236,18.195999999999998,0.039,0.22
99,Cudahy,33.96416667,-118.1825,37.0,121.0,23805,1.226,1.175,0.051,3.175,3.043,0.132,4.15
100,CulverCity,34.00777778,-118.40083329999999,29.0,95.0,38883,5.138999999999999,5.111000000000001,0.027999999999999997,13.31,13.238,0.07200000000000001,0.54
101,Cupertino,37.3175,-122.04194440000002,72.0,236.0,58302,11.257,11.255999999999998,0.001,29.156,29.153000000000002,0.003,0.01
102,Cypress,33.81833333,-118.03916670000001,12.0,39.0,47802,6.59,6.581,0.009000000000000001,17.069000000000003,17.045,0.024,0.14
103,DalyCity,37.68638889,-122.46833329999998,57.0,187.0,101123,7.664,7.664,0.0,19.849,19.849,0.0,0.0
104,DanaPoint,33.46722222,-117.69805559999999,44.0,144.0,33351,29.484,6.497000000000001,22.987,76.36399999999999,16.828,59.536,77.96
105,Danville,37.82166667,-122.0,109.0,358.0,42039,18.028,18.028,0.0,46.693000000000005,46.693000000000005,0.0,0.0
106,Davis,38.55388889,-121.73805559999998,16.0,52.0,65622,9.919,9.887,0.032,25.69,25.608,0.08199999999999999,0.32
107,Delano,35.76888889,-119.24694440000002,96.0,315.0,53819,14.355,14.302999999999999,0.052000000000000005,37.18,37.044000000000004,0.135,0.36
108,DelMar,32.955,-117.2638889,34.0,112.0,4161,1.777,1.7069999999999999,0.07,4.602,4.421,0.18100000000000002,3.94
109,DelReyOaks,36.59333333,-121.835,25.0,82.0,1624,0.483,0.48100000000000004,0.002,1.251,1.246,0.005,0.42
110,DesertHotSprings,33.96111111,-116.50805559999999,328.0,1076.0,25938,23.642,23.615,0.027000000000000003,61.233000000000004,61.163999999999994,0.069,0.11
111,DiamondBar,34.00166667,-117.82083329999999,212.0,696.0,55544,14.885,14.88,0.005,38.552,38.538000000000004,0.013999999999999999,0.04
112,Dinuba,36.545,-119.38916670000002,102.0,345.0,21453,6.47,6.47,0.0,16.758,16.758,0.0,0.0
113,Dixon,38.44916667,-121.82694440000002,19.0,62.0,18351,7.0920000000000005,6.996,0.096,18.368,18.118,0.249,1.36
114,Dorris,41.965,-121.9188889,1294.0,4245.0,939,0.718,0.7020000000000001,0.016,1.86,1.819,0.040999999999999995,2.19
115,DosPalos,36.98333333,-120.63333329999999,362.0,118.0,4950,1.35,1.35,0.0,3.4960000000000004,3.4960000000000004,0.0,0.0
116,Downey,33.93805556,-118.13083329999999,36.0,118.0,111772,12.568,12.408,0.16,32.551,32.137,0.414,1.27
117,Duarte,34.14027778,-117.96166670000001,156.0,512.0,21321,6.69,6.69,0.0,17.328,17.328,0.0,0.0
119,Dunsmuir,41.22166667,-122.27305559999999,695.0,2280.0,1650,1.735,1.6980000000000002,0.037000000000000005,4.494,4.398,0.096,2.14
120,EastPaloAlto,37.46694444,-122.13972220000001,6.0,20.0,28155,2.612,2.505,0.107,6.766,6.4879999999999995,0.278,4.11
122,ElCajon,32.79833333,-116.96,133.0,436.0,99478,14.433,14.433,0.0,37.381,37.381,0.0,0.0
123,ElCentro,32.8,-115.56666670000001,-12.0,-39.0,42598,11.099,11.081,0.018000000000000002,28.746,28.7,0.046,0.16
125,ElkGrove,38.43833333,-121.38194440000001,14.0,45.0,153015,42.239,42.19,0.049,109.398,109.271,0.127,0.12
126,ElMonte,34.07333333,-118.0275,91.0,299.0,113475,9.648,9.562000000000001,0.086,24.988000000000003,24.766,0.222,0.89
127,ElSegundo,33.92138889,-118.4061111,35.0,115.0,16654,5.465,5.462999999999999,0.002,14.152000000000001,14.148,0.004,0.03
128,Emeryville,37.83138889,-122.28527779999999,7.0,23.0,10080,2.01,1.246,0.764,5.206,3.2260000000000004,1.979,38.02
129,Encinitas,33.04444444,-117.27166670000001,25.0,82.0,59518,19.99,18.812,1.178,51.772,48.722,3.05,5.89
130,Escalon,37.79166667,-120.99166670000001,36.0,118.0,7266,2.3680000000000003,2.301,0.067,6.1339999999999995,5.959,0.175,2.85
131,Escondido,33.12472222,-117.08083329999998,197.0,646.0,143911,36.989000000000004,36.813,0.17600000000000002,95.801,95.345,0.456,0.48
132,Etna,41.45722222,-122.89694440000001,895.0,2936.0,737,0.759,0.758,0.001,1.965,1.962,0.002,0.12
134,Exeter,36.29416667,-119.14277779999999,119.0,390.0,10334,2.463,2.463,0.0,6.379,6.379,0.0,0.0
135,Fairfax,37.98722222,-122.5888889,35.0,115.0,7441,2.204,2.204,0.0,5.707000000000001,5.707000000000001,0.0,0.0
136,Fairfield,38.25777778,-122.05416670000001,4.0,13.0,108321,37.635,34.39,3.245,97.475,94.839,2.635,5.65
137,Farmersville,36.30111111,-119.2075,109.0,358.0,10588,2.258,2.258,0.0,5.849,5.849,0.0,0.0
138,Ferndale,40.57666667,-124.26333329999999,17.0,56.0,1371,1.0270000000000001,1.0270000000000001,0.0,2.659,2.659,0.0,0.0
139,Fillmore,34.40138889,-118.9177778,139.0,456.0,15002,3.365,3.364,0.001,8.715,8.712,0.003,0.03
140,Firebaugh,36.85888889,-120.4561111,46.0,151.0,7549,3.5189999999999997,3.4619999999999997,0.057,9.113999999999999,8.967,0.14800000000000002,1.62
141,Folsom,38.67222222,-121.15777779999999,67.0,220.0,72203,24.301,21.945,2.356,62.93899999999999,56.838,6.101,9.69
142,Fontana,34.1,-117.46666670000002,377.0,1237.0,201812,42.431999999999995,42.431999999999995,3.0,109.899,109.899,6.0,3.0
144,FortJones,41.60722222,-122.84194440000002,842.0,2762.0,839,0.602,0.602,0.0,1.56,1.56,0.0,0.0
145,Fortuna,40.59805556,-124.1572222,20.0,66.0,11926,4.845,4.845,0.0,12.549000000000001,12.549000000000001,0.0,0.0
146,FosterCity,37.55138889,-122.2663889,2.0,7.0,30567,19.840999999999998,3.7560000000000002,16.085,51.388000000000005,9.729,41.659,81.07
147,FountainValley,33.70861111,-117.9563889,10.0,33.0,55313,9.031,9.017999999999999,0.013000000000000001,23.391,23.357,0.034,0.14
148,Fowler,36.63333333,-119.68333329999999,94.0,308.0,5570,2.531,2.531,0.0,6.556,6.556,0.0,0.0
149,Fremont,37.54833333,-121.9886111,71.0,218.0,220000,87.61,77.459,10.151,226.91,200.618,26.291999999999998,11.59
151,Fullerton,33.88,-117.9286111,50.0,164.0,135161,22.36,22.353,0.011000000000000001,57.92100000000001,57.893,0.027000000000000003,0.05
152,Galt,38.26083333,-121.3030556,16.0,47.0,23647,5.944,5.931,0.013000000000000001,15.397,15.362,0.035,0.23
153,Gardena,33.89361111,-118.3077778,15.0,49.0,58829,5.865,5.829,0.036000000000000004,15.190999999999999,15.097000000000001,0.094,0.62
154,GardenGrove,33.77888889,-117.9602778,27.0,89.0,170883,17.959,17.941,0.018000000000000002,46.513000000000005,46.467,0.046,0.1
155,Gilroy,37.01194444,-121.58,61.0,200.0,48821,16.156,16.146,0.01,41.845,41.818999999999996,0.027000000000000003,0.06
156,Glendale,34.17083333,-118.25,159.0,522.0,196021,30.583000000000002,30.453000000000003,0.13,79.212,78.874,0.33799999999999997,0.43
157,Glendora,34.13083333,-117.85416670000001,236.0,774.0,50073,19.558,19.393,0.165,50.655,50.228,0.42700000000000005,0.84
159,Gonzales,36.50666667,-121.44444440000001,41.0,135.0,8187,1.959,1.921,0.038,5.075,4.976,0.098,1.93
160,GrandTerrace,34.03111111,-117.31666670000001,324.0,1063.0,12040,3.502,3.502,0.0,9.07,9.07,0.0,0.0
161,GrassValley,39.21916667,-121.05833329999999,735.0,2411.0,12860,4.743,4.743,0.0,12.285,12.285,0.0,0.0
162,Greenfield,36.32083333,-121.2438889,88.0,289.0,16330,2.135,2.135,0.0,5.53,5.53,0.0,0.0
164,GroverBeach,35.12083333,-120.61944440000002,19.0,62.0,13156,2.314,2.31,0.004,5.995,5.983,0.011000000000000001,0.19
165,Guadalupe,34.96555556,-120.57305559999999,26.0,85.0,7080,1.314,1.3090000000000002,0.005,3.405,3.391,0.013999999999999999,0.4
166,Gustine,37.25777778,-120.9988889,30.0,98.0,5520,1.551,1.551,0.0,4.0169999999999995,4.0169999999999995,0.0,0.0
167,HalfMoonBay,37.45888889,-122.43694440000002,22.0,72.0,11324,6.444,6.4239999999999995,0.02,16.692,16.639,0.053,0.32
168,Hanford,36.3275,-119.64555559999998,76.0,249.0,55283,16.589000000000002,16.589000000000002,0.0,42.966,42.966,0.0,0.0
169,HawaiianGardens,33.82861111,-118.07361110000001,10.0,33.0,14254,0.956,0.946,0.01,2.477,2.45,0.027000000000000003,1.09
170,Hawthorne,33.91722222,-118.3486111,22.0,72.0,84293,6.0920000000000005,6.081,0.011000000000000001,15.779000000000002,15.75,0.028999999999999998,0.18
172,Healdsburg,38.6175,-122.86638889999999,32.0,105.0,11254,4.4639999999999995,4.457,0.006999999999999999,11.561,11.543,0.018000000000000002,0.15
173,Hemet,33.74194444,-116.98305559999999,486.0,1594.0,78657,27.846999999999998,27.846999999999998,0.0,72.124,72.124,0.0,0.0
174,Hercules,38.01722222,-122.2886111,24.0,79.0,24060,18.179000000000002,6.205,11.974,47.083999999999996,16.072,31.011999999999997,65.87
175,HermosaBeach,33.86638889,-118.39972220000001,8.0,26.0,19506,1.4269999999999998,1.4269999999999998,0.0,3.695,3.695,0.0,0.0
176,Hesperia,34.41277778,-117.30611110000001,971.0,3186.0,90173,73.209,73.096,0.113,189.61,189.31599999999997,0.294,0.15
177,HiddenHills,34.1675,-118.6608333,328.0,1076.0,1856,1.689,1.689,0.0,4.373,4.373,0.0,0.0
178,Highland,34.11833333,-117.2025,399.0,1309.0,53014,18.89,18.755,0.135,48.924,48.575,0.349,0.71
179,Hillsborough,37.56027778,-122.3563889,98.0,322.0,10825,6.19,6.19,0.0,16.031,16.031,0.0,0.0
180,Hollister,36.84722222,-121.39833329999999,88.0,289.0,34928,7.29,7.29,0.0,18.88,18.88,0.0,0.0
181,Holtville,32.81111111,-115.38027779999999,-3.0,-10.0,5939,1.153,1.148,0.005,2.986,2.9739999999999998,0.012,0.4
182,Hughson,37.60305556,-120.86694440000001,38.0,125.0,6640,1.815,1.815,0.0,4.7010000000000005,4.7010000000000005,0.0,0.0
183,HuntingtonBeach,33.69277778,-118.00027779999999,12.0,39.0,197575,31.881999999999998,26.748,5.1339999999999995,82.57600000000001,69.278,13.298,16.1
184,HuntingtonPark,33.98333333,-118.21666670000002,52.0,171.0,58114,3.016,3.013,0.003,7.811,7.8020000000000005,0.008,0.11
185,Huron,36.20277778,-120.10305559999999,114.0,374.0,6754,1.591,1.591,0.0,4.121,4.121,0.0,0.0
186,ImperialBeach,32.57833333,-117.1172222,21.0,69.0,26324,4.485,4.1610000000000005,0.324,11.616,10.777999999999999,0.838,7.22
187,Imperial,32.8475,-115.56944440000001,-18.0,-59.0,14758,5.856,5.856,0.0,15.168,15.168,0.0,0.0
188,IndianWells,33.71583333,-116.3411111,27.0,89.0,4958,14.591,14.321,0.27,37.79,37.091,0.6990000000000001,1.85
189,Indio,33.72,-116.23194440000002,-4.0,-13.0,76036,29.189,29.180999999999997,0.008,75.6,75.579,0.021,0.03
190,Industry,34.01666667,-117.95,98.0,322.0,219,12.064,11.785,0.27899999999999997,31.245,30.522,0.723,2.31
191,Inglewood,33.9575,-118.3461111,40.0,131.0,109673,9.093,9.068,0.025,23.549,23.486,0.064,0.27
192,Ione,38.35277778,-120.9327778,91.0,299.0,7918,4.78,4.765,0.015,12.379000000000001,12.341,0.039,0.31
193,Irvine,33.68416667,-117.7925,17.0,45.0,215529,66.454,66.10600000000001,0.348,172.115,171.21400000000003,0.9009999999999999,0.52
194,Irwindale,34.11666667,-117.96666670000002,143.0,469.0,1422,9.613,8.826,0.787,24.897,22.859,2.0380000000000003,8.19
195,Isleton,38.16194444,-121.60916670000002,3.0,10.0,804,0.49200000000000005,0.44,0.052000000000000005,1.272,1.139,0.134,10.5
196,Jackson,38.34888889,-120.77416670000001,371.0,1217.0,4651,3.73,3.73,0.0,9.66,9.66,0.0,0.0
198,Kerman,36.72361111,-120.06,67.0,220.0,17303,3.233,3.233,0.0,8.372,8.372,0.0,0.0
199,KingCity,36.21277778,-121.1261111,102.0,335.0,12874,3.984,3.845,0.139,10.317,9.958,0.36,3.49
200,Kingsburg,36.51388889,-119.55388889999999,92.0,302.0,11382,2.8280000000000003,2.8280000000000003,0.0,7.325,7.325,0.0,0.0
202,Lafayette,37.88583333,-122.11805559999999,97.5,320.0,24285,15.387,15.220999999999998,0.166,39.853,39.422,0.431,1.08
203,LagunaBeach,33.53138889,-117.76916670000001,6.0,20.0,22723,9.821,8.85,0.971,25.435,22.921,2.515,9.89
204,LagunaHills,33.59972222,-117.69944440000002,113.0,371.0,30344,6.695,6.67,0.025,17.34,17.276,0.064,0.37
205,LagunaNiguel,33.53194444,-117.7025,121.0,397.0,62979,14.885,14.833,0.052000000000000005,38.551,38.418,0.134,0.35
206,LagunaWoods,33.60916667,-117.7327778,116.0,381.0,18747,3.115,3.115,0.0,8.07,8.068999999999999,0.0,0.01
207,LaHabra,33.93194444,-117.94611110000001,91.0,299.0,60239,7.376,7.37,0.006,19.104,19.088,0.016,0.08
208,LaHabraHeights,33.96388889,-117.95277779999999,225.0,738.0,5325,6.162000000000001,6.159,0.003,15.958,15.95,0.006999999999999999,0.05
209,LakeElsinore,33.68138889,-117.34527779999999,395.0,1306.0,51821,41.687,36.208,5.479,107.97,93.779,14.19,13.14
210,LakeForest,33.64166667,-117.69083329999998,148.0,400.0,77264,17.902,17.816,0.086,46.36600000000001,46.143,0.223,0.48
211,Lakeport,39.04305556,-122.91583329999999,413.0,1355.0,4753,3.198,3.0580000000000003,0.14,8.283999999999999,7.92,0.364,4.39
212,Lakewood,33.8475,-118.12,14.0,46.0,80048,9.466000000000001,9.415,0.051,24.517,24.384,0.133,0.54
213,LaMesa,32.77138889,-117.0227778,161.0,528.0,57065,9.116,9.076,0.04,23.612,23.506999999999998,0.10400000000000001,0.44
214,LaMirada,33.90222222,-118.00972220000001,59.0,194.0,48527,7.857,7.84,0.017,20.351,20.305999999999997,0.045,0.22
215,Lancaster,34.68333333,-118.15,719.0,2359.0,156633,94.54700000000001,94.27600000000001,0.271,244.87599999999998,244.175,0.701,0.29
216,LaPalma,33.84944444,-118.0438889,14.0,46.0,15568,1.8319999999999999,1.808,0.024,4.744,4.6819999999999995,0.063,1.32
217,LaPuente,34.0325,-117.95527779999999,107.0,351.0,39816,3.48,3.4789999999999996,0.001,9.012,9.01,0.002,0.02
220,Lathrop,37.81694444,-121.2886111,7.0,20.0,18023,23.033,21.930999999999997,1.102,59.655,56.8,2.8539999999999996,4.79
221,LaVerne,34.11444444,-117.77138889999999,323.0,1060.0,31063,8.562000000000001,8.43,0.132,22.175,21.834,0.341,1.54
222,Lawndale,33.88666667,-118.35361110000001,18.0,59.0,32769,1.974,1.974,0.0,5.113,5.113,0.0,0.0
223,LemonGrove,32.74138889,-117.03166670000002,136.0,440.0,25320,3.88,3.88,0.0,10.05,10.05,0.0,0.0
224,Lemoore,36.30083333,-119.78277779999999,70.0,230.0,25281,8.517000000000001,8.517000000000001,0.0,22.058000000000003,22.058000000000003,0.0,0.0
225,Lincoln,38.88722222,-121.2961111,51.0,167.0,42819,20.13,20.105999999999998,0.024,52.137,52.075,0.062,0.12
226,Lindsay,36.2,-119.08333329999999,118.0,387.0,11768,2.61,2.61,0.0,6.7589999999999995,6.7589999999999995,0.0,0.0
229,Livingston,37.38694444,-120.7236111,40.0,131.0,13058,3.715,3.715,0.0,9.622,9.622,0.0,0.0
230,Lodi,38.12888889,-121.28083329999998,15.0,50.0,62134,13.825,13.610999999999999,0.214,35.805,35.251999999999995,0.5529999999999999,1.54
231,LomaLinda,34.04833333,-117.25055559999998,355.0,1165.0,23261,7.517,7.516,0.001,19.47,19.467,0.002,0.01
232,Lomita,33.79333333,-118.3161111,29.0,95.0,20256,1.911,1.911,0.0,4.949,4.949,0.0,0.0
